Satellite,Latitude,Longitude,Altitude (km),Coverage Area (km^2)
STARLINK-2432,50.856431255809696,-163.20832253410416,551.3003785645764,163823.07874469488
STARLINK-2433,44.72568050014009,-144.22942982166037,551.335009857446,163843.661292554
STARLINK-2434,-12.78554056099357,-56.6601408796152,550.4834455912489,163337.92284208033
STARLINK-2435,-12.295147538375206,99.18245045296769,550.674214012752,163451.15101312203
STARLINK-2446,-6.269525809852377,98.85120029584795,549.0869041759638,162510.2182932478
STARLINK-2453,-49.777724056873396,-14.250288774038054,564.670937532567,171865.76445423134
STARLINK-2258,-48.18760722822792,10.310516723835901,563.7784821171138,171322.930345245
STARLINK-2280,23.547203218207287,-80.46039779714766,546.8264470501068,161174.94244418413
STARLINK-2291,-51.32138291050969,2.6916061751349534,565.2483331962001,172217.42159084187
STARLINK-2293,42.24161645838516,-99.22103889655818,549.7833864875428,162922.7478071776
STARLINK-2304,-42.47192342838004,-23.1721591892516,561.5493728924013,169970.83001104437
STARLINK-2310,-53.16887747625532,30.71923745857821,565.9462024126542,172642.93166065708
STARLINK-2320,-45.46325722250445,-6.95237473687915,562.8120962817865,170736.09647414662
STARLINK-2321,13.372717706110985,-77.14940668759448,515.7031147704894,143350.10354935506
STARLINK-2323,-36.318307320845555,30.215802546174768,559.3086060421729,168617.05728373516
STARLINK-2324,-45.49462034208051,64.00964083828235,563.0626721873517,170888.16099470513
STARLINK-2326,-13.2276171199393,-31.299880906906285,551.0616614382285,163681.2362602093
STARLINK-2327,-32.81879673225312,84.7218992863075,557.804314658543,167711.26723537475
STARLINK-2329,40.68921739570635,153.59755825070724,550.7074712214544,163470.89442238747
STARLINK-2330,3.5247234639110876,71.21640058468118,547.3213535196459,161466.81793267236
STARLINK-2331,-38.843902425712486,86.1294363625984,544.027396647653,159529.14726023265
STARLINK-2332,1.1433080576437742,124.03494703634342,531.3713755232721,152193.04748517883
STARLINK-2333,52.173696942446156,-161.97838116760636,552.6802502036722,164644.18364426916
STARLINK-2335,17.871451366310065,137.51979324889868,546.8966820040071,161216.34805540548
STARLINK-2336,31.92423107123592,166.34140321605597,548.0527438726645,161898.64533383684
STARLINK-2337,20.938295790109898,149.81243379524608,530.3808831134238,151626.19135523398
STARLINK-2339,33.64178613710097,163.42373201289377,549.527483319108,162771.11447202243
STARLINK-2340,-7.507288718183497,-52.88084506339255,532.3883191395562,152776.14193491486
STARLINK-2342,-19.451401165036653,113.24755131777069,552.5826490090432,164586.03772679353
STARLINK-2343,46.17321524026262,-175.23291512191437,551.7204480939773,164072.82753590125
STARLINK-2344,-50.843471571263834,71.49890313942232,535.6762331138456,154668.99302564363
STARLINK-2346,-24.920376321684614,113.22787987470757,554.5043355822278,165732.7720265247
STARLINK-2348,-18.655788961956468,-41.80513882629758,551.7715286551711,164103.21002437637
STARLINK-2349,29.00014969672113,-80.93225556046833,547.3340425413907,161474.30486772736
STARLINK-2351,8.009758266549957,-53.254829345247764,482.4415662613015,125454.98981245901
STARLINK-2352,5.019214047913414,-90.97143522360871,546.5087326856078,160987.70673714063
STARLINK-2354,-13.740311909096073,113.02418034842344,550.8341004765839,163546.0798105354
STARLINK-2355,-51.20638228333852,55.03933034240354,565.1625689647992,172165.1650041075
STARLINK-2356,-29.904002769001604,113.08122160407889,556.1568669752941,166722.0761561701
STARLINK-2358,-29.176714439807046,98.879844209773,556.1880263471695,166740.75829786842
STARLINK-2361,29.529879473100383,138.71945316323178,547.883466561097,161798.64935600923
STARLINK-2362,38.61289676492143,-83.12329492359467,548.6977454582068,162279.9456111081
